household_size,seasonal_index,garden_area,number_of_bathrooms,children_count,elderly_count,appliance_count,temperature,daily_liters_used
2,1.41,223.81,1,2,2,5,11.3,810.6931148
4,1.09,189.19,1,3,1,5,43.82,922.2783813
4,1.48,194.77,3,1,0,11,16.07,1158.082303
7,1.09,220.02,1,3,2,14,17.31,1330.209664
6,0.95,206.52,3,0,0,11,11.82,1287.819423
6,1.17,13.59,3,0,0,14,31.15,1058.75056
7,1.08,87.35,2,2,,11,10.79,1133.139844
6,0.89,277.92,3,3,1,8,18.31,1359.140969
3,0.82,16.38,4,2,1,12,19,753.814128
4,1.32,138.2,4,0,0,13,33.02,1058.204962
7,1.45,20.31,4,2,,14,16.26,1216.083841
4,1.11,273.24,2,0,2,10,44.44,1128.26782
1,0.85,274.53,2,0,1,9,23.4,843.9704612
3,1.32,261.28,1,,2,19,30.66,1044.805053
5,1.41,283.31,3,0,1,18,41.38,1417.154456
3,1.03,272.51,1,,2,18,23.79,1078.511029
7,0.96,15.99,2,1,2,12,17.06,1052.979601
5,1.04,162.9,3,1,2,10,35.62,1120.174719
1,1.44,188.22,1,2,2,16,25.12,796.2336841
7,1.09,219.87,3,2,2,12,26.92,1450.344244
2,1.26,201.34,4,3,0,19,29.87,1049.154798
4,0.85,210.56,2,0,1,17,22.94,1089.551859
1,1,196.66,3,0,2,14,16.29,787.9903575
4,0.96,54.49,3,3,0,8,14,813.5427894
6,0.84,,1,0,0,8,20.41,1111.65666
2,0.88,140.61,2,1,2,16,10.29,810.3171372
2,1.09,297.99,4,2,0,18,35.91,1128.444875
1,1.19,198.85,1,1,2,16,,758.1273765
2,1.02,265.91,4,1,0,19,25,1125.857992
5,1.09,45.36,1,2,1,15,42.43,879.003861
2,1.33,99.38,3,3,1,14,11.25,787.3868277
4,0.97,232.47,2,1,0,19,,1152.878465
4,0.82,230.88,4,3,,7,13.5,1103.86151
7,0.98,52.91,1,0,0,14,17.59,1076.013262
,1.44,178.49,2,2,2,14,30.32,1090.16962
7,0.81,84.17,1,2,0,5,19.13,1065.332825
4,0.89,189.79,4,,2,16,33.4,1160.810029
5,0.85,51.28,4,2,0,17,43.12,1056.818985
7,1.06,126.06,2,2,1,15,15.48,1257.402716
3,1.25,80.03,4,,0,7,33.93,843.5494785
6,1.44,145.51,3,0,1,18,12.95,1331.550316
1,1.36,113.89,1,2,2,6,34.34,559.1050039
4,0.98,253.02,,3,2,18,14.31,1263.719796
2,1.24,245.83,1,3,2,14,34.62,865.8736981
4,1.26,245.45,4,2,2,12,31.17,1260.948698
2,0.86,,3,3,0,,27.86,762.9376228
6,1.1,110.69,4,3,2,19,38.42,1351.167406
6,1.02,113.12,4,3,1,13,22.36,1195.616739
6,0.91,275.31,3,2,0,9,13.65,1371.997305
2,0.84,149.16,2,3,2,14,10.77,742.0776291
4,0.82,119.61,2,1,1,12,31.22,889.9125328
6,1.4,138.9,4,0,2,17,41.82,1325.874826
5,1.03,221.96,3,1,,12,40.99,1265.781512
7,1.15,66.94,4,2,2,18,28.95,1297.624111
2,1,249.13,2,0,0,16,23.3,982.8447863
2,0.92,295.97,1,3,0,12,41.16,940.6377903
4,0.98,262.14,2,3,1,18,42.08,1192.310886
2,0.92,261.33,3,2,0,14,24.17,971.3314486
2,1.33,52.65,4,2,1,9,39.17,719.5252768
6,1.44,194.71,2,1,0,14,29.48,1249.763893
4,1.1,191.76,1,2,0,16,14.27,1079.60231
6,1.38,209.71,3,1,0,19,30.77,1401.996147
7,1.1,254.49,1,1,1,18,25.79,1492.984112
7,1.11,98.37,2,3,0,16,29.8,1253.465041
6,1.14,131.99,1,2,2,5,24.59,990.8957744
7,1.37,253.27,3,1,2,18,39.36,1595.325454
4,1.46,261.25,2,2,1,12,18.38,1217.210137
1,1.32,165.94,1,2,1,10,19.85,662.1135113
6,1.42,106.28,3,1,1,16,37.49,1250.030109
5,1.25,193.26,3,0,2,13,35.83,1245.127663
5,1.39,42.37,2,0,2,9,37.91,944.5973344
2,1.19,197.47,1,1,2,7,30.58,792.6949333
7,1.34,229.63,1,0,2,7,42.7,1326.801411
5,1.29,64.11,4,3,1,16,25.96,1076.305752
2,1.32,36.4,4,2,0,16,27.13,794.0742994
1,0.96,100.87,4,3,2,6,32.66,586.9030771
4,0.91,248.96,4,3,0,16,34.27,1261.449792
4,1.26,148.73,4,0,1,6,13.73,1065.416814
4,1.14,258.65,2,2,0,17,40.24,1195.308218
5,1.34,63.89,3,2,0,12,13.37,1062.07802
1,0.9,79.59,3,3,2,7,19.98,575.1041169
5,1.46,31.94,3,2,0,9,16.53,971.2562132
7,1.29,88.87,1,0,1,8,44.34,1144.016024
5,0.82,34.5,2,2,1,13,15.15,891.3820644
1,1.2,128.77,3,0,2,,33.14,780.9573624
1,1.02,29.07,2,2,0,16,35.11,502.6548946
7,0.99,206.24,2,0,2,17,24.74,1357.103444
1,,201.15,2,3,2,15,17,783.0077363
1,1.39,50.84,2,1,2,17,13.29,655.7751321
4,0.81,13.14,3,3,0,17,26.24,893.1711143
7,0.93,237.44,3,,1,15,31.62,1538.158471
3,1.3,208.8,2,2,0,18,43.14,1062.036328
3,1.39,133.95,1,3,2,5,33.43,741.3690145
1,1.3,281.79,2,3,2,16,10.07,976.2497677
3,1.17,186.6,1,1,0,6,15.13,807.7011704
3,1.49,257.65,4,1,2,13,40.68,1205.923107
1,1.36,211.02,3,3,1,16,33.87,850.5827636
3,1.13,207.04,4,1,0,6,25.81,995.4055994
5,1.21,95.25,3,0,1,12,31.35,1054.740906
2,0.83,172.85,2,1,2,18,15.83,834.3166373
7,1.48,99.43,2,1,1,16,,1281.09528
2,1.05,70.7,3,0,1,11,11.55,
1,1.26,22.46,2,1,1,13,36.04,499.0770461
4,1.27,220.66,2,2,1,14,35.37,1148.550966
7,0.84,100.27,3,0,1,12,15.67,1279.579681
1,0.99,284.67,,2,2,18,12.07,991.2604427
4,1.26,61.87,3,3,2,19,34.62,992.5463556
2,1.44,59.72,3,2,0,10,44.07,701.5690853
1,1.35,217.83,4,3,0,7,15.82,874.5047189
7,1.21,113.05,4,1,0,17,42.3,1355.385952
7,0.96,200.53,2,2,2,12,33.44,1334.143966
6,1.46,227.66,1,3,2,10,23.45,1246.375182
5,1.08,178.61,2,1,0,18,28.01,1191.091439
3,0.9,226.88,2,3,1,12,29.04,980.1331369
4,0.82,200.1,2,1,1,7,10.53,966.5185257
6,1.47,39.67,3,0,0,14,13.52,1128.970847
,1.34,270.63,4,2,2,6,36.66,1152.615473
3,0.95,112.71,3,0,2,16,33.56,877.8191868
1,0.9,157.55,2,0,1,10,26.96,654.7151255
3,1.47,82.27,1,0,1,14,15.48,798.0515175
5,0.97,184.98,2,2,2,14,,1141.409798
7,1.12,23.53,2,3,1,17,29.22,1106.520865
6,1.23,153.76,2,2,2,16,26.89,1229.26389
3,0.84,244.68,4,3,0,8,28.92,1099.986721
1,1.04,43.93,3,0,2,19,43.73,639.529747
5,1.46,299.14,3,2,0,,28.78,1423.580596
2,1.29,290.65,1,0,2,10,24.5,922.5758086
7,1.06,241.31,3,2,2,9,44.45,1439.852901
7,1.35,218.79,4,3,2,19,22.78,1592.426021
6,1.39,222.45,1,0,1,10,21.54,1237.826801
7,0.91,46.71,3,0,2,11,,1130.139972
3,1.21,213.94,4,3,1,12,24.48,1104.030919
1,1.06,122.78,2,2,0,6,16.4,606.8327421
7,1.15,210.17,3,2,1,15,36.01,1499.417813
7,1.13,135.99,4,3,0,10,19.37,1372.384434
2,1.15,81.65,1,3,2,17,33.45,681.7081108
2,1.17,256.2,1,1,0,17,12.12,926.3348674
4,0.85,76.45,2,2,2,17,33.15,900.3559442
5,0.92,29.46,1,3,2,13,30.66,808.2751426
3,1.2,89.4,1,0,0,16,,814.3136371
7,1.46,263.03,2,3,1,19,38.43,1547.438598
7,1.32,97.53,2,1,1,13,43.26,1266.548279
1,0.97,,1,2,1,19,14.19,676.8478904
4,1.05,249.51,2,1,0,17,10.45,1199.429427
5,1.03,108.46,4,2,1,15,23.38,1147.545608
4,1.34,187.98,4,2,0,10,12.08,1125.296928
6,1.48,236.36,2,0,0,16,21.59,1395.17384
5,1.05,129.21,3,1,1,17,22.35,1151.262739
7,0.81,97.33,3,3,2,9,30.59,1200.433296
7,1.46,76.47,2,1,2,13,21.76,1247.521259
5,1.33,181.8,3,3,1,12,25.47,1178.56572
7,1.38,156.76,3,3,2,18,13.45,1431.566555
3,0.95,186.43,1,1,0,8,32.74,
5,1.25,86.62,1,1,2,11,26.69,902.9019384
4,0.96,236.55,2,1,2,19,13.3,1131.515272
5,,120.32,4,3,2,6,14.53,1012.59568
7,0.91,258.2,1,2,2,9,18.16,1406.999118
3,1.45,73.47,2,0,1,19,,855.1829995
3,0.95,298.98,3,1,1,19,12.45,1179.656219
6,1.21,108.64,2,1,2,17,39.37,1176.949697
4,1.48,39.87,3,3,1,13,31.71,889.1628884
2,0.85,22.38,,3,0,14,38.51,623.7737093
2,1.37,185.36,1,3,2,12,20.16,816.3299346
5,1.22,137.94,4,,0,5,28.92,1117.790453
6,1.03,179.28,3,3,2,16,28.03,1274.385784
1,1.05,59.28,2,1,0,19,35.07,599.2804478
5,0.82,119.25,4,0,2,13,15.7,1093.248748
6,0.98,137.08,3,0,1,11,10.29,1189.22929
4,1.1,120.37,3,0,1,8,12.57,932.9488801
4,1.3,260.43,4,0,1,17,24.25,1275.317331
4,0.99,201.37,4,2,1,12,33.18,1155.090382
4,1.21,243.35,4,0,0,18,40.77,1282.329327
4,1.31,212.02,2,1,1,,38.97,1088.985098
6,1.29,296.07,4,2,0,7,10.34,1521.01245
6,1.21,246.82,4,0,1,7,42.09,1394.419376
3,1.21,295.11,4,1,1,16,31.79,
2,1.3,239.49,4,0,0,16,33.3,1088.141685
7,1.03,129.89,2,1,0,6,19.55,1191.279245
4,1.12,48.36,4,1,2,6,36.79,839.1695414
1,1.48,120.89,3,1,0,11,33.21,743.4704736
7,1.27,276.98,2,1,1,11,34.73,1488.653312
6,1.16,151.02,2,1,0,13,19.93,1214.968164
1,1.2,103.92,1,2,1,19,26.96,628.0948318
1,0.87,157.11,1,0,1,19,31.44,638.4614562
1,1.21,238.71,1,2,2,5,27.64,702.8607961
3,1.39,191.12,3,1,1,16,13.17,1055.725415
6,1.17,162.81,3,1,1,6,33.68,1229.391736
1,0.92,294.37,3,0,2,10,25.03,903.1042979
4,1.11,183.15,3,2,2,8,27.43,1002.589859
,,48.16,3,2,1,5,42.89,882.2084327
1,1.05,238.27,,3,1,15,39.19,891.8729429
3,0.96,58.98,2,0,0,17,24.34,765.0214947
7,1.03,257.81,1,3,0,18,17.83,1455.925357
6,1.38,71.74,3,0,0,19,18.82,1244.730041
3,1.33,274.33,4,2,1,11,,1204.734412
1,1.14,,4,1,1,15,35.22,896.8200606
6,1.35,236.54,1,2,0,15,35.19,1307.576694
5,1.48,290.66,1,2,0,8,20.67,1237.343489
1,,93.55,3,3,0,16,26.69,675.8902379
3,1.49,109.44,3,1,1,17,35.4,1013.972393
2,0.97,162.99,1,2,1,12,28.42,708.3035913
4,1.47,177.23,1,3,2,7,17.72,958.578872
7,1.41,172.64,1,3,1,7,26.87,1238.680228
3,0.94,196.04,,2,1,17,31.43,963.4834921
6,1.04,277.97,1,2,1,6,12.45,1246.122601
1,1.3,80.16,2,2,1,12,31.32,563.8458869
4,0.93,37.7,3,3,2,19,35.05,891.4349012
1,1.21,35.77,3,1,2,15,41.61,619.5540252
6,1.17,142.9,1,2,2,16,33.9,1133.95537
1,1,149.75,1,1,1,5,42.58,556.2683763
2,1.01,297.06,3,0,1,5,14.94,953.2759981
4,,47.3,2,,2,10,22.4,771.4290277
,1.01,106.43,2,1,0,13,40.39,910.476726
6,0.93,231.58,4,0,0,10,41.33,1352.383614
7,1.34,57.8,2,2,2,5,16.19,1084.436576
2,1.21,259.56,4,0,2,17,44.71,1076.366369
3,1.11,100.23,1,3,1,14,24.51,765.9356518
1,0.93,11.4,2,1,1,8,23.37,416.7132238
5,,127.04,3,0,2,12,29.83,1104.929449
1,1.24,104.82,4,3,2,5,41.41,695.3586879
1,1.14,208.85,2,3,0,10,27.39,770.5572552
3,1.06,144.44,3,3,0,16,16.38,960.989517
1,1.41,70.15,1,1,0,9,39.9,516.5812466
2,1.29,65.65,2,3,1,16,19.57,720.4998753
2,1.05,201.68,2,1,2,6,41.29,779.9555843
4,1.22,210.43,4,0,0,11,31.69,1121.854033
6,0.96,247.43,2,3,2,6,27.57,1216.107607
7,0.81,293.09,2,3,2,7,32.32,1394.770732
5,1.41,165.38,2,2,2,7,33.26,1121.802156
1,1.37,246.35,2,1,,7,44.81,826.0737361
1,1.25,53.99,1,2,2,5,33.26,393.0752251
3,1.37,58.19,2,0,1,,28.55,799.5623687
,1.35,232.41,1,1,0,19,23.27,1365.325673
2,1.4,31.01,2,2,1,6,21.59,549.8223563
5,1.42,217.73,2,3,1,15,27.03,1207.490902
4,1.37,57.66,2,2,2,7,36.13,802.2522475
2,1.4,81.89,3,1,0,19,19.45,804.592552
6,1.15,87.97,3,0,0,13,16.51,1186.572971
7,1.3,258.09,1,2,1,8,20.25,1396.076248
4,1.03,60.21,3,3,0,,43.76,866.6454267
7,1.4,56.21,1,0,0,19,12,1179.37974
3,1.4,28.01,3,2,0,15,36.02,828.8493031
3,0.85,,1,3,1,16,15.58,1036.909389
1,1.04,168.29,1,0,1,5,30.1,552.2666959
7,0.92,189.28,4,0,1,12,13.83,1417.648129
6,0.9,269.54,1,0,2,6,34.19,1222.714106
5,1.09,46.17,2,1,,11,13.3,896.1582796
4,1.24,48.69,1,3,0,11,40.64,791.136211
2,1.04,99.47,3,2,2,7,34.73,703.1296815
6,1.02,27.55,1,1,0,15,36.39,928.4582133
6,,299.11,3,1,2,7,32.13,1375.796613
3,1.07,223.79,3,2,0,14,39.7,984.7233032
7,1.13,247.7,3,1,2,13,28.34,1474.378515
1,1.08,272.37,2,1,2,12,20.51,878.620908
1,1.28,230.77,2,2,0,7,34.03,796.8707087
4,1,119.7,4,3,0,14,31.62,1058.828781
3,1.3,19.2,1,1,2,19,21.27,708.8094749
,1.42,34.18,3,0,1,12,44.44,1122.066539
5,1.21,16.83,4,0,0,13,41.7,974.6384818
3,1.07,272.14,3,1,1,16,11.38,1139.534952
4,0.93,147.6,1,2,0,6,23.33,812.4448756
4,1.45,299.5,3,2,1,18,40.4,1337.79941
3,1.33,122.58,1,3,2,14,18.54,831.0431742
4,0.97,127.22,1,2,0,5,10.54,796.4440291
3,0.91,72,2,3,1,18,38.96,762.2267401
2,0.83,104.93,1,3,1,10,23.91,592.6683777
,0.93,104.83,3,0,0,13,26.39,860.8317371
7,1.31,294.07,1,1,2,5,15.87,1372.973913
3,1.24,53.43,,0,2,11,38.09,645.6333615
4,1.48,283.42,4,3,0,13,25.19,1357.791669
7,1.03,280.99,3,0,1,6,22.5,1430.279544
4,1.35,191.61,4,2,,18,13.77,1219.537856
1,0.88,183.61,1,2,0,19,30.5,702.2869874
1,1.19,106.1,2,1,1,18,41.57,712.1704254
7,1.13,126.32,1,2,1,9,33.21,1140.445928
2,1.39,76.21,2,1,0,11,15.17,699.5480756
1,1.29,117.3,4,0,0,16,18.27,782.328579
3,0.94,155.55,4,3,2,14,20.91,1080.270254
4,1.49,252.95,1,3,2,15,31.03,1125.180392
1,1.38,104.12,1,0,2,8,40.84,573.0743363
1,1.05,123.44,4,1,1,5,11.68,672.0560414
2,1.38,50.67,4,0,2,8,40.22,771.3479667
7,1.47,39.06,2,2,1,19,36.44,1222.853682
7,1.42,12.98,2,3,2,6,10.96,1036.182766
6,1.19,233.01,2,2,1,9,29.32,1297.629238
2,1.2,172.05,3,1,2,18,,919.639976
3,0.87,169.71,1,3,0,12,26.96,803.0320962
7,0.92,53.71,2,1,1,19,16.42,1193.536638
4,1.49,224.58,1,0,1,15,17.96,1119.071702
2,1.34,152.54,2,1,0,5,18.62,732.4985503
1,0.82,163.95,4,0,0,16,28.63,801.7583808
4,1.18,289.59,1,1,1,8,11.06,1081.632577
4,1.04,205.35,4,0,2,12,26.46,1107.813967
1,1.02,245.37,4,3,0,6,25.21,854.7962327
2,1.19,182.27,3,2,,7,24.27,818.3902943
1,1.02,195,4,2,2,5,12.17,735.7000905
6,0.98,284.01,4,2,0,11,37.42,1420.039649
4,1.46,295.82,1,0,2,15,21.51,1217.182376
5,0.83,120.31,2,2,2,14,39.04,997.290025
5,1.11,181.69,3,2,2,15,28.72,1264.301339
3,1.16,262.82,4,1,1,9,38.69,1148.788746
7,1.11,205.2,1,2,1,13,11.8,1358.552489
1,1.26,153.46,2,3,0,8,25.55,702.2542924
1,0.82,212.25,3,1,1,7,26.35,754.3469454
3,1.42,153.68,2,0,2,13,29.21,919.4718674
3,1.15,250.84,3,3,0,7,40.68,1011.36078
3,1.19,163.54,2,3,1,7,28.1,882.6151451
4,1.12,169.27,2,1,0,5,21.97,920.3617399
6,1.11,205.23,3,2,1,6,25.65,1259.81211
1,0.93,168.63,1,0,2,11,29.89,663.2298918
4,1.15,222.89,,0,0,14,43.85,1167.95428
3,1.09,102.68,1,3,2,8,24.32,684.5073778
1,1.13,77.27,4,3,0,7,16.67,593.1366258
4,0.81,229.76,4,2,0,12,27.14,1171.339138
6,0.89,235.58,1,1,2,8,37.09,1212.571838
4,1.33,184.16,1,3,0,13,14.75,1006.13694
6,1.09,177.34,2,3,0,5,42.51,1178.795043
3,1.32,75.03,1,1,0,13,12.93,777.2372074
6,0.92,36.48,1,3,2,16,34.03,927.9751681
1,1.29,14.81,1,2,0,11,10.19,410.5708853
3,1,213.64,2,1,1,5,29.3,907.9702241
1,1.29,258.41,4,1,0,5,31.39,916.0343845
5,0.86,294.85,1,0,1,19,32.82,1217.864011
2,1.03,290.42,1,,1,5,25.65,864.3664557
6,0.88,277.6,4,0,0,5,25.54,1364.01341
2,1.24,82.44,1,0,0,14,36.41,678.057706
2,1.07,40.5,4,2,0,15,26.38,759.8320336
6,0.85,44.19,4,1,2,11,17.23,1059.021566
3,1.17,85.02,3,1,0,16,35.02,909.6162502
5,0.82,27.4,4,1,1,13,21.81,954.9276517
,1.37,218.6,2,0,2,5,34.06,774.0493868
4,,255.24,2,0,2,10,20.41,1139.150275
1,1.37,73.23,1,1,2,15,12.8,573.3036028
4,1.47,56.8,1,0,0,12,34.81,851.4423817
1,1.43,43.57,3,2,1,11,24.92,575.2874338
6,1.43,110.61,1,1,1,14,23.72,1164.639708
5,0.97,253.75,2,3,1,7,43.09,1177.63116
4,0.96,186.6,3,0,0,18,39.1,1147.319947
7,1.37,177.23,1,0,0,13,26.59,1326.840824
3,1.14,257.03,3,2,2,5,13.17,1031.058032
1,1.46,122.38,3,1,1,10,19.71,715.4505619
1,1.43,53.12,3,0,1,17,17.92,618.0140832
4,1.43,33.38,2,1,1,17,21.36,888.9569074
,1.03,181.86,3,0,1,6,17.21,897.1853562
3,0.89,36.43,3,2,0,14,41.75,763.4381184
6,1.27,289.77,2,2,,6,13.69,1350.12996
7,1.11,185.81,3,3,0,15,34.82,1400.278893
6,1.45,48.5,1,2,1,13,10.07,1028.767526
6,1.4,210.16,4,1,0,11,19.95,1359.682082
6,1.45,38.74,1,0,2,18,16.05,1094.231789
6,1.2,250.2,2,1,,9,11.5,1284.821825
6,1.17,183.12,2,1,1,16,29.72,1275.641948
5,1.39,130.23,2,1,1,6,15.14,1050.49709
3,1.16,149.5,4,2,2,,28.38,912.8838271
6,1.43,31.45,4,3,0,6,31.31,1067.733146
3,0.82,227.91,2,1,1,7,28.84,858.6123194
3,1.05,107.91,1,1,0,8,21,710.5189021
2,1.38,73.5,4,3,1,19,44.95,864.6877224
5,0.95,176.76,4,2,2,17,17.15,1242.758124
6,1.08,231.34,2,2,1,12,21.18,1259.494849
1,0.81,,3,1,0,19,29.77,612.6993556
4,1.01,35.33,4,2,2,13,20.54,891.8915776
7,1.02,218.32,1,3,0,14,10.98,1364.866209
1,1.31,,4,2,0,7,13.86,633.3757933
5,1.27,,1,2,2,5,27.77,879.7758181
4,1.11,240.17,3,3,1,15,39.93,1197.714569
5,1.31,295.61,4,3,1,7,27.93,1384.362896
3,1.1,210.61,2,1,0,18,30.85,1008.229632
4,1.1,,1,1,0,18,21.88,858.7554638
3,1.25,90.76,2,,0,9,35.21,771.3742384
1,1.31,,3,3,2,7,15.85,785.8270185
1,1.39,136.78,4,0,0,12,18.56,764.2045462
4,1.33,226.75,4,0,1,7,34.87,1168.454874
4,1.27,262.46,4,0,2,11,38.48,1251.559486
6,1.19,41.39,2,3,0,11,16.97,1019.887444
5,1.02,161.66,3,3,2,10,41.94,1116.394249
6,0.98,190.66,2,0,0,5,31.19,1192.454387
5,1.39,222.19,3,1,1,15,20.31,1297.625901
6,1.3,154.41,2,2,0,5,27.6,1158.549669
3,1.27,192.06,2,2,0,9,14.76,889.0175883
4,0.98,108.99,1,3,2,6,41.84,794.8541857
1,1.48,92.1,3,2,0,13,33.67,653.1213099
5,0.86,78.42,1,2,2,9,11.85,856.0254697
5,1.39,96.11,4,0,2,6,37.25,1090.44011
1,0.95,117.94,2,2,0,7,32.85,568.9788912
6,1.07,152.02,3,2,1,18,15.19,1289.860583
,1.1,292.77,4,3,1,14,23.01,1384.264699
7,1.26,212.77,2,2,2,12,16.08,1374.748544
3,1.18,109.09,2,1,0,5,37.59,708.5687235
4,0.93,33.4,4,2,1,10,29.62,885.3093252
1,0.82,167.67,,0,0,17,16.76,799.8125086
4,1.3,78.61,1,3,2,10,13.92,816.2084885
7,1.15,236.53,3,2,0,12,41.26,1483.303078
5,1.05,44.61,3,3,2,7,15.71,898.5759732
5,1,239.12,4,1,1,19,28.55,1367.140985
7,1.38,198.1,1,2,0,12,10.06,1320.112434
1,1.36,71.43,4,0,1,9,24.02,666.3199148
3,1.38,143.53,2,1,2,6,15.37,873.3308116
2,0.95,167.58,3,2,1,11,11.71,829.5976668
1,1.4,20.71,1,2,2,9,22.1,442.6700655
2,1.49,29.83,3,3,1,10,34.6,609.9022279
,1.22,75.24,1,2,2,11,43.37,1072.03182
6,0.83,147.7,1,1,1,7,24.88,1060.978208
2,1.29,,1,1,,,29.4,793.2169289
3,1.18,147.35,1,0,2,16,38.34,920.2265751
6,1.3,184.36,3,1,2,13,37.6,1297.807551
2,0.93,40.13,,3,1,7,20.81,660.7552876
7,1.22,96.58,2,3,0,17,39.92,1249.254841
6,1.18,278.87,2,2,1,13,,1379.033913
7,1.22,160.89,1,2,0,19,35.6,1352.163138
2,1.31,,3,0,1,6,28.52,788.2371381
7,1.18,251.84,3,1,1,12,34.24,1466.769124
3,1.03,281.44,3,0,0,11,12.02,1103.07323
2,1.02,288.48,3,3,1,13,26.87,1055.686343
2,1.29,172.54,4,3,1,6,42.27,848.7960342
2,1.26,243.11,3,1,,19,44.69,1063.640809
1,1.1,263.45,2,2,0,6,10.91,766.6585665
1,1.05,119.38,1,3,1,11,20.76,575.8158797
1,1.23,240.09,2,1,2,18,44.25,907.9988651
3,1.02,131.72,2,0,2,10,32.35,815.5724611
6,1.47,173.96,2,0,2,19,35.52,1338.288836
7,1.22,90.55,4,0,0,17,36.36,1341.851607
5,1.21,44.94,1,0,2,15,44.08,845.3220544
2,0.9,1382.3,1,3,0,16,,2796.32585
7,1.23,239.7,2,0,0,16,27.62,1495.398437
2,1.01,57.23,3,0,1,13,11.33,684.6946272
3,1.12,16.36,1,3,0,8,31.29,540.8152814
2,1.18,155.42,1,3,2,17,13.58,772.7220917
1,1.13,273.97,4,0,0,10,18.87,955.0102776
5,1.37,97.04,4,2,0,15,10.93,1120.878398
4,0.87,84.76,1,3,0,15,39.97,828.5391376
2,0.92,217.79,1,2,1,,14.31,867.8079978
7,0.91,88.86,2,3,1,9,34,1145.825289
1,1.37,170.78,1,1,2,15,16.77,744.0006767
4,0.88,265.18,3,3,1,10,42.41,1147.481533
5,1.48,281.07,4,1,2,8,31.28,1397.735893
4,1.48,115.88,1,1,2,5,26.83,840.9474588
1,1.49,42.72,4,3,1,15,16.44,668.8699847
6,1.49,196.83,4,0,2,13,35.84,1396.833577
6,0.9,164.22,2,2,0,10,43.28,1117.33497
4,1.26,42.61,4,1,1,13,19.85,961.9542398
3,1.08,123.8,2,3,,12,17.16,874.7973799
7,1.31,227.56,3,0,,17,13.36,1531.661073
7,1.08,43.97,3,1,1,5,30.63,1098.029865
4,1.07,269.94,1,3,2,8,28.76,1070.158429
2,1.43,219.66,1,3,0,,30.83,830.7177753
2,1.15,211.23,4,2,1,14,36.18,
7,1.32,64.76,4,1,2,12,37.8,1272.110338
7,1.25,255.1,1,3,2,,36.44,1417.340288
6,1.26,242.87,3,3,1,6,40.88,1324.878979
3,1.04,260.75,3,3,0,11,12.42,1108.831005
1,0.98,147.83,2,0,1,19,35.8,784.1725841
2,1.42,12.71,1,1,1,15,37.63,614.7575236
7,0.82,81.7,1,1,2,11,14.61,1117.844429
6,0.92,83.69,4,0,0,8,25.99,1121.800837
5,0.89,92.58,4,2,2,17,28.41,1104.579701
6,1.46,81.47,4,2,0,5,12.81,1171.024933
2,0.8,277.74,2,2,0,15,22.24,968.8986906
2,0.81,270.27,3,3,1,12,43.09,916.2203589
6,0.96,276,2,2,1,8,27.77,1315.887815
1,1,69.33,3,1,0,19,13.49,721.0799162
4,1.19,229.96,1,2,2,18,19.13,1137.339117
2,1.47,197.82,4,3,2,7,28.11,992.9222426
6,1.13,197.05,4,2,1,13,38.64,1322.579192
7,1,73.76,1,2,,18,14.28,
6,1.37,157.34,3,0,0,8,12.9,1210.806515
3,1.07,216.68,1,1,1,5,17.04,913.1930126
4,0.9,146.98,2,1,1,,24.97,958.0504351
